"Longitude","Latitude","year","Tested","uniq_id_publication","n","Present"
-17.4519,14.6867,2023,30,1450,1,12
-17.4,14.75,2000,27,1117,1,21
-17.4,14.75,2000,34,293,1,28
-17.4,14.75,2000,43,14,1,34
-17.4,14.75,2001,36,65,1,23
-17.4,14.75,2001,45,1117,1,31
-17.4,14.75,2001,53,293,1,36
-17.4,14.75,2002,79,293,1,53
-17.4,14.75,2002,82,1117,1,55
-17.4,14.75,2003,63,1117,1,46
-17.4,14.75,2003,70,293,1,53
-17.4,14.75,2004,68,164,2,40
-17.4,14.75,2004,71,1117,1,47
-17.4,14.75,2004,79,293,1,51
-17.4,14.75,2005,98,293,1,32
-17.4,14.75,2005,100,1117,1,52
-17.4,14.75,2006,82,293,1,48
-17.4,14.75,2009,37,293,1,23
-17.4,14.75,2014,54,570,1,31
-17.376,14.7828,2000,69,169,1,63
-17.366,14.7645,1997,11,6,1,6
-17.366,14.7645,2000,16,72,1,13
-17.366,14.7645,2000,16,105,1,13
-17.366,14.7645,2002,40,99,1,27
-17.366,14.7645,2007,110,225,1,94
-17.366,14.7645,2010,156,319,1,86
-17.366,14.7645,2014,102,515,1,36
-17.366,14.7645,2018,13,1292,1,7
-16.9667,14.4167,2008,35,321,1,8
-16.9667,14.4167,2009,35,321,1,13
-16.9667,14.4167,2009,146,302,1,43
-16.9667,14.4167,2010,139,302,1,35
-16.9256,14.7667,2007,27,1201,1,6
-16.9256,14.7896,2006,60,1117,1,34
-16.9256,14.7896,2007,71,1117,1,33
-16.9256,14.7896,2008,91,1117,1,50
-16.9256,14.7896,2009,78,1117,1,36
-16.9256,14.7896,2010,87,1117,1,38
-16.9256,14.7896,2011,118,1117,1,64
-16.9256,14.7896,2012,60,505,1,13
-16.9256,14.7896,2012,112,1117,1,32
-16.9256,14.7896,2013,50,505,1,10
-16.9256,14.7896,2013,50,1117,1,9
-16.9256,14.7896,2014,49,1117,1,0
-16.9256,14.7896,2018,63,1117,1,19
-16.9256,14.7896,2019,71,1117,1,32
-16.9256,14.7896,2020,37,1117,1,0
-16.7,14.4167,2002,48,60,1,43
