"id","site_name","lon","lat","country_id","vivax_id","district"
"1","","0.0","0.0","null","null","null"
"2","Jalalabad","70.4478","34.4342","1","null","null"
"3","Jalalabad, Asadabad, Maimaneh, Taloqan","70.4478","34.4342","1","null","null"
"4","Nangahar","70.6217","34.1718","1","null","null"
"5","","13.2344","-8.83833","7","null","null"
"6","Dande","13.73","-8.49","7","null","null"
"7","Luanda","13.2344","-8.83833","7","null","null"
"8","Uige Provincial Hospital","15.0506","-7.61383","7","null","null"
"9","Bandarban","92.2167","22.2","19","null","null"
"10","Bandarban District","92.3814","21.7444","19","null","null"
"11","Dighinala upazilla, Baghaichara, Pujgang, Panchari upazilla","92.0665","23.2409","19","null","null"
"12","Rangamati","92.1688","22.6581","19","null","null"
"13","","2.62885","6.49686","24","null","null"
"14","Allada, Sekou","2.15976","6.66446","24","null","null"
"15","Littoral, Ouémé","2.44417","6.35306","24","null","null"
"16","Ouidah","2.08333","6.36667","24","null","null"
"17","Parakou","2.61667","9.35","24","null","null"
"18","Amazon basin","-62.6221","-3.68885","32","null","null"
"19","Amazon region","-55.1242","-2.04091","32","null","null"
"20","Itaituba","-55.9866","-4.26098","32","null","null"
"21","Manaus","-60.0217","-3.11903","32","null","null"
"22","Paragominas","-47.3531","-3.00249","32","null","null"
"23","Peixoto de Azevedo, Apiacás","-54.992","-10.2439","32","null","null"
"24","Porto Velho","-63.9039","-8.76194","32","null","null"
"25","Porto Velho","-63.9004","-8.76116","32","null","null"
"26","Rondônia, Marabá","-49.129","-5.391","32","null","null"
"27","Tabatinga","-69.9369","-4.23146","32","null","null"
"28","Tailândia","-48.952","-2.935","32","null","null"
"29","Tucurui","-49.6778","-3.76608","32","null","null"
"30","Bazoulé, Donsin, Bendogo, Zabré and Pabré","12.35","12.35","36","null","Bazoulé, Donsin, Bendogo, Zabré and Pabré"
"31","Bobo Dioulasso","-4.29177","11.1781","36","null","null"
"32","Bobo-Dioulasso","-4.29177","11.1781","36","null","null"
"33","Bourasso","-3.71667","12.6333","36","null","null"
"34","Bourasso, Bagala, Boron","-3.71667","12.6333","36","null","null"
"35","Nouna","-3.86667","12.7333","36","null","null"
"36","Satiri, Balla, Kadomba","-4.03778","11.4347","36","null","null"
"37","Ziniaré, Boussé","-1.3","12.5822","36","null","null"
"38","","29.3667","-3.38333","37","null","null"
"39","Battambang","103.204","13.0957","38","null","null"
