"id","basic_id","mixed_incl","present","present_quantity_unknown","tested","marker_type_id","site_id","site_id2","start_year","end_year","k13_id"
"2","2808","true","47","false","193","125","672","null","2012","2012","null"
"3","2631","true","191","false","397","125","9","null","2007","2008","null"
"4","3496","false","4","false","16","36","788","null","2007","2007","null"
"5","3150","false","86","false","96","134","124","null","2004","2004","null"
"6","3017","false","92","false","104","134","649","null","2010","2010","null"
"7","2624","true","197","false","232","65","320","null","2005","2006","null"
"9","2888","false","19","false","25","125","156","null","2002","2002","null"
"10","3103","false","59","false","83","80","825","null","2011","2011","null"
"11","2613","false","95","false","141","111","117","null","2007","2008","null"
"12","2964","false","14","false","102","170","603","null","2010","2010","null"
"13","2852","false","1","false","16","81","207","null","2012","2012","null"
"14","3520","false","35","false","240","168","154","null","2006","2007","null"
"15","3507","false","1","false","14","103","788","null","2007","2007","null"
"18","2930","false","5","false","14","33","129","null","2002","2002","null"
"19","2882","false","28","false","54","141","208","null","2003","2003","null"
"20","3220","false","10","false","33","125","553","null","2008","2008","null"
"21","2501","false","61","false","171","125","687","null","1998","1998","null"
"22","3547","false","1","false","55","83","578","null","2002","2003","null"
"23","3229","false","10","false","40","68","291","null","2008","2008","null"
"25","3393","false","9","false","82","34","723","null","2001","2001","null"
"26","3378","false","1","false","2","89","142","null","2005","2005","null"
"27","3290","false","15","false","81","89","614","null","2008","2009","null"
"29","2824","false","2","false","78","154","567","null","2010","2010","null"
"30","3264","false","31","false","60","80","637","null","2010","2010","null"
"31","3080","false","909","false","911","89","711","null","2007","2008","null"
"32","3371","false","7","false","17","89","138","null","2005","2006","null"
"33","3405","false","8","false","66","116","723","null","2001","2001","null"
"34","3428","false","22","false","100","36","210","null","2002","2002","null"
"35","2741","false","82","false","97","89","96","null","2010","2011","null"
"36","2813","false","14","false","37","156","276","null","2008","2008","null"
"38","3174","false","1","false","10","89","542","null","2005","2007","null"
"40","2696","false","27","false","32","134","532","null","2010","2010","null"
"41","3359","false","1","false","1","65","742","null","1999","1999","null"
"42","2634","true","12","false","397","103","9","null","2007","2008","null"
"43","3417","false","15","false","100","58","210","null","2002","2002","null"
"45","3426","false","24","false","100","35","210","null","2002","2002","null"
"46","2955","false","24","false","138","125","603","null","2010","2010","null"
"48","3513","false","147","false","240","125","154","null","2006","2007","null"
"49","3163","false","16","false","178","89","733","null","2005","2007","null"
"50","2523","false","2","false","40","149","533","null","2005","2006","null"
"52","2816","false","1","false","37","139","276","null","2008","2008","null"
"53","2879","false","17","false","54","72","208","null","2003","2003","null"
"54","3442","false","91","false","91","141","210","null","2002","2002","null"
"55","2872","false","5","false","70","86","110","null","2004","2004","null"
"56","2917","false","25","false","25","99","263","null","2004","2004","null"
"57","3068","false","2","false","19","62","796","null","2010","2010","null"
"58","2685","false","15","false","184","109","344","null","2008","2008","null"
