"id","name"
"1","Analysis of placental tissue"
"2","Article in Chinese"
"3","Biased selection of samples"
"4","Chimpanzee infection"
"5","Cultured isolates"
"6","Different Species of Plasmodium: P. vivax"
"7","Different Species of Plasmodium: Avian"
"8","Experimental"
"9","Genotype prevalences previously published"
"10","Genotypes in mosquitos"
"11","Methodology"
"12","Missing data"
"13","Missing data: No denominator"
"14","Missing data: not sufficient location information"
"15","No access to article"
"16","No prevalence report"
"17","Review"
"18","Severe malaria"
