"Longitude","Latitude","year","PubMedID","Tested","Present","realised","86","184","1246"
-13.7916,9.60222,2014,"30259821",33,14,"NFD",0,1,0
-13.7916,9.60222,2014,"30259821",33,0,"NFY",0,1,1
-13.7916,9.60222,2014,"30259821",33,6,"NYD",0,0,0
-13.7916,9.60222,2014,"30259821",33,0,"NYY",0,0,1
-13.7916,9.60222,2014,"30259821",33,8,"YFD",1,1,0
-13.7916,9.60222,2014,"30259821",33,0,"YFY",1,1,1
-13.7916,9.60222,2014,"30259821",33,0,"YYD",1,0,0
-13.7916,9.60222,2014,"30259821",33,0,"YYY",1,0,1
-13.2937,8.45456,2014,"30259821",32,10,"NFD",0,1,0
-13.2937,8.45456,2014,"30259821",32,0,"NFY",0,1,1
-13.2937,8.45456,2014,"30259821",32,10,"NYD",0,0,0
-13.2937,8.45456,2014,"30259821",32,0,"NYY",0,0,1
-13.2937,8.45456,2014,"30259821",32,4,"YFD",1,1,0
-13.2937,8.45456,2014,"30259821",32,1,"YFY",1,1,1
-13.2937,8.45456,2014,"30259821",32,0,"YYD",1,0,0
-13.2937,8.45456,2014,"30259821",32,2,"YYY",1,0,1
-10.8046,6.29582,2014,"30259821",22,3,"NFD",0,1,0
-10.8046,6.29582,2014,"30259821",22,0,"NFY",0,1,1
-10.8046,6.29582,2014,"30259821",22,3,"NYD",0,0,0
-10.8046,6.29582,2014,"30259821",22,0,"NYY",0,0,1
-10.8046,6.29582,2014,"30259821",22,8,"YFD",1,1,0
-10.8046,6.29582,2014,"30259821",22,0,"YFY",1,1,1
-10.8046,6.29582,2014,"30259821",22,0,"YYD",1,0,0
-10.8046,6.29582,2014,"30259821",22,2,"YYY",1,0,1
-8.7674,6.74875,2008,"27596849",198,29,"NFD",0,1,0
-8.7674,6.74875,2008,"27596849",198,55,"NYD",0,0,0
-8.7674,6.74875,2008,"27596849",198,0,"NYY",0,0,1
-8.7674,6.74875,2008,"27596849",198,54,"YFD",1,1,0
-8.7674,6.74875,2008,"27596849",198,47,"YYY",1,0,1
-3.86667,12.7333,2005,"20060374",111,62,"NFD",0,1,0
-3.86667,12.7333,2005,"20060374",111,30,"YFD",1,1,0
-3.86667,12.7333,2005,"20060374",111,0,"YYY",1,0,1
-2.33333,7.33333,2008,"21288822",48,16,"NFD",0,1,0
-2.33333,7.33333,2008,"21288822",48,9,"NYD",0,0,0
-2.33333,7.33333,2008,"21288822",48,14,"YFD",1,1,0
-2.33333,7.33333,2008,"21288822",48,2,"YYD",1,0,0
-2.33333,7.33333,2008,"21288822",48,5,"YYY",1,0,1
-1.58333,6.45,2008,"21288822",41,13,"NFD",0,1,0
-1.58333,6.45,2008,"21288822",41,13,"NYD",0,0,0
-1.58333,6.45,2008,"21288822",41,12,"YFD",1,1,0
-1.58333,6.45,2008,"21288822",41,3,"YYD",1,0,0
-1.58333,6.45,2008,"21288822",41,0,"YYY",1,0,1
-1.24723,5.10506,2008,"21288822",47,18,"NFD",0,1,0
-1.24723,5.10506,2008,"21288822",47,8,"NYD",0,0,0
-1.24723,5.10506,2008,"21288822",47,16,"YFD",1,1,0
-1.24723,5.10506,2008,"21288822",47,2,"YYD",1,0,0
-1.24723,5.10506,2008,"21288822",47,3,"YYY",1,0,1
-1.24723,5.10506,2014,"31932374",58,34,"NFD",0,1,0
-1.24723,5.10506,2014,"31932374",58,0,"NFY",0,1,1
-1.24723,5.10506,2014,"31932374",58,13,"NYD",0,0,0
-1.24723,5.10506,2014,"31932374",58,11,"YFD",1,1,0
-1.24723,5.10506,2014,"31932374",58,0,"YYD",1,0,0
